acc_id,survival_time,amount_spent
27835,64,0.0025592618245919444
12351,64,0.12015406155968845
125437,55,0.18259348786992524
104483,64,0.016241469271448875
4704,20,0.22639623832928737
3277,50,0.058863021965614715
118874,64,0.03077676399316979
7678,5,0.0
124997,46,0.009187093729304416
116489,23,0.0
80681,23,0.0
91444,64,0.010204236249334546
113169,64,0.007677785473775832
105928,64,0.10538908949473494
54944,6,0.0
41188,64,0.03044865350283749
84274,64,0.0
82976,33,0.0
106636,9,0.8381254365048285
99546,25,0.006562209806646011
78232,15,0.10476567956310356
68702,64,0.0025592618245919444
36632,31,0.12120401512875181
83478,64,0.015289948849485206
33151,29,0.09843314709969016
25482,64,0.14230151965711874
3043,64,0.015618059339817506
89354,1,0.0
63879,64,0.03609215393655306
86978,52,0.0
10975,64,0.044426160390993494
38144,40,0.0016405524516615027
98153,64,0.14331866217714886
128532,64,0.08658835839869411
71096,64,0.07644974424742602
107362,64,0.0
36623,64,0.10286263871917622
68696,59,0.0
42064,1,0.0
44431,51,0.0
125123,64,0.0
85629,64,0.32896357760716455
58326,21,0.0
86706,57,0.0
109768,64,0.09958153381585322
107469,64,0.06919850241108218
31618,64,0.021261559773533074
4833,64,0.047083855362685126
53213,52,0.01893197529217374
55261,23,0.022672434881961967
57320,26,0.0
1487,64,0.16008510823312944
9208,64,0.0
50330,64,0.03609215393655306
89158,14,1.0362385505674716
53493,14,0.32811049033230055
71903,64,0.06686891792972285
15573,50,0.0
99096,64,0.19785062567037723
104787,64,0.0
24651,64,0.0
125949,64,0.18534961598871658
101186,64,0.10837489495675887
96896,22,0.044294916194860576
8573,64,0.04052164555603912
40639,64,0.24135807668844028
103138,29,0.0
84110,64,0.0
77639,24,0.0
45168,3,0.8514467224123199
76184,1,0.0
91084,16,0.061520716937306354
103197,29,0.0033795380504226956
114522,60,0.043966805704528274
12418,64,0.1396110136363939
17227,64,0.01151667821066375
9377,64,0.2217370693665687
64520,64,0.0
104276,64,0.0010171425200301318
101624,64,0.0
82805,2,0.37650678765631485
48884,64,0.20228011728986328
68273,19,0.0
79341,64,0.03044865350283749
121439,8,0.0
61094,64,0.15870704417373377
3232,1,0.9843314709969017
59243,4,2.5140810100731863
65346,58,0.033598514210027575
111608,64,0.008465250650573354
65314,4,0.0
75400,64,0.14436861574621224
49673,64,0.47851633910062713
20702,64,0.03044865350283749
82352,64,0.1860386480184144
65847,64,0.03609215393655306
63637,64,0.25002019363321304
92084,14,0.06959223499948095
39510,2,0.0
93669,64,0.06001140868177777
37800,64,0.20835016136101084
130282,64,0.03609215393655306
92290,64,0.026773816011115725
43073,64,0.038126438976613324
66039,47,0.09101785001818018
16720,10,0.008202762258307513
124974,25,0.0
60603,14,0.0
11480,64,0.05148053593313796
100263,64,0.0
118914,64,0.041670032272202166
93345,20,0.22147458097430286
107409,64,0.07507168018803036
38333,64,0.018800731096040822
78922,11,0.0
56343,64,0.03077676399316979
57493,3,0.0
53634,64,0.30074607543858667
78693,61,0.15854298892856764
91600,64,0.03727335170174934
13664,64,0.5570988015352131
127540,44,0.09111628316527987
48757,64,0.24696876607312263
85182,4,0.0
84162,64,0.09630042891253021
14679,64,0.04856035256918048
77582,64,0.03609215393655306
95549,46,0.0021327181871599534
19700,64,0.14407331630491316
26065,64,0.0010171425200301318
129379,64,0.2079892398216453
29318,62,0.0
71362,14,0.0
89622,64,0.016766446055980558
63964,29,0.0
122487,64,0.24775623124992013
59189,64,0.03710929645658319
34063,2,0.0
97350,64,0.0
64468,64,0.0
126288,29,0.3342133454524813
116288,64,0.03044865350283749
113176,22,0.2249853632208585
85989,9,0.32811049033230055
55282,10,0.0
66204,64,0.13521433306594105
98767,3,0.0
8847,64,0.016832068154047017
31179,64,0.03769989533918133
17899,9,0.11920254113772479
350,64,0.3580013560015731
59355,57,0.02280367907809489
5249,64,0.0804526922294801
89301,64,0.0
97721,64,0.11739793344089713
112288,11,0.0
49251,64,0.0010171425200301318
95749,27,0.14374520581458086
121500,6,2.850886428399293
34066,64,0.051218047540872114
63580,64,0.03632183127978567
116285,64,0.045837035499422384
122834,64,0.10758742977996134
31967,46,0.08852421029165469
31435,1,0.0
104394,10,0.09843314709969016
104143,64,0.03917639254567668
26455,64,0.021884969705164445
33394,64,0.008727739042839194
606,64,0.27036304403381567
