day,acc_id,amount_spent
18,27835,0.8261229892636534
23,27835,0.01173470155204053
27,27835,0.03520410465612159
17,12351,0.5280615698418238
11,125437,0.6336738838101886
23,125437,1.1699497447384408
25,125437,0.01173470155204053
21,104483,0.3719900391996848
22,4704,1.4046437757792514
26,3277,0.03520410465612159
27,3277,0.34852063609560374
17,118874,0.8261229892636534
1,7678,1.5841847095254715
2,7678,0.5924850813625264
6,7678,1.4433682909009853
7,7678,0.17602052328060797
26,7678,0.09387761241632424
25,124997,0.03520410465612159
8,116489,0.03520410465612159
17,80681,0.03520410465612159
6,113169,0.35204104656121593
3,105928,0.2346940310408106
6,105928,0.35204104656121593
18,105928,0.5867350776020265
21,105928,0.35204104656121593
22,105928,0.34852063609560374
3,54944,0.24396444526692262
3,41188,0.34852063609560374
17,84274,1.0561231396836477
1,106636,0.01173470155204053
11,106636,3.168369419050943
13,106636,0.03520410465612159
19,106636,0.5280615698418238
20,106636,0.11617354536520125
13,99546,0.34852063609560374
26,99546,0.01173470155204053
1,78232,2.1122462793672954
8,78232,0.11617354536520125
17,78232,3.168369419050943
18,78232,1.173470155204053
6,68702,0.5280615698418238
16,68702,0.01173470155204053
1,36632,1.0561231396836477
2,36632,0.11617354536520125
3,36632,1.0561231396836477
6,36632,0.2346940310408106
27,36632,0.5280615698418238
1,83478,1.0561231396836477
4,83478,0.1173470155204053
7,83478,0.02346940310408106
10,83478,0.9387761241632424
21,83478,0.03520410465612159
22,83478,0.02346940310408106
26,83478,0.03520410465612159
28,83478,0.5010717562721306
4,33151,0.7040820931224319
5,33151,0.2346940310408106
11,33151,0.35204104656121593
14,33151,0.35204104656121593
15,33151,0.7627556008826345
17,33151,1.4081641862448637
20,33151,0.5867350776020265
22,33151,1.7602052328060795
27,33151,0.34852063609560374
5,25482,0.03520410465612159
8,25482,0.29336753880101324
13,25482,0.02346940310408106
17,25482,3.168369419050943
18,25482,0.07040820931224318
21,25482,0.03520410465612159
22,25482,0.17602052328060797
26,25482,2.2530626979917816
27,25482,0.16428582172856743
27,3043,0.5362758609282522
17,63879,0.5280615698418238
1,10975,0.11617354536520125
8,10975,0.11617354536520125
17,10975,6.095003986129852
1,38144,0.5280615698418238
26,38144,0.01173470155204053
28,38144,0.8261229892636534
4,98153,0.1173470155204053
15,98153,0.2346940310408106
20,98153,0.2346940310408106
4,128532,0.03520410465612159
8,128532,0.2674338483710037
11,128532,0.11617354536520125
14,128532,0.01173470155204053
27,128532,0.9352557136976303
14,107362,0.8261229892636534
9,36623,1.0561231396836477
21,36623,0.34852063609560374
5,68696,1.0561231396836477
7,68696,0.5280615698418238
27,125123,0.8261229892636534
27,85629,0.11617354536520125
25,58326,0.8261229892636534
2,109768,0.46586765161600907
13,109768,0.01173470155204053
17,109768,0.5984697791540671
21,109768,0.5280615698418238
2,31618,1.99489926384689
7,31618,0.46586765161600907
8,31618,1.0561231396836477
16,31618,0.2323470907304025
18,31618,2.1122462793672954
19,31618,1.0561231396836477
24,31618,0.442398248511928
4,4833,0.1173470155204053
6,4833,0.03520410465612159
11,4833,0.5632656744979454
27,55261,0.03520410465612159
1,1487,1.0561231396836477
21,1487,1.1629089238072166
25,1487,0.1173470155204053
6,89158,0.03520410465612159
7,89158,5.794478279382093
8,89158,0.07040820931224318
17,89158,2.346940310408106
20,89158,2.346940310408106
24,89158,0.8214291086428371
28,89158,0.35204104656121593
8,53493,0.11617354536520125
13,53493,1.173470155204053
26,71903,0.2346940310408106
3,99096,0.9434700047840586
4,99096,0.17602052328060797
18,99096,0.07040820931224318
21,99096,0.10561231396836478
23,99096,0.07040820931224318
25,99096,0.08214291086428371
26,99096,0.02346940310408106
27,99096,0.17602052328060797
22,104787,0.8261229892636534
14,24651,0.8261229892636534
3,125949,0.01173470155204053
20,125949,0.34852063609560374
2,101186,0.05867350776020265
